case_id,selection_rank,frequency_index,frequency_ghz,power_fraction,snr_db,noise_variance_db2
training_prior__pilot_power_residual__uniform__k32,27,214,345.3333333333333,0.03125,27.010135340693992,1.028111165146661
training_prior__pilot_power_residual__uniform__k32,28,222,356.0,0.03125,23.714800465557914,1.0309626301248447
training_prior__pilot_power_residual__uniform__k32,29,230,366.66666666666663,0.03125,5.194989316101669,1.4632472717552303
training_prior__pilot_power_residual__uniform__k32,30,239,378.66666666666663,0.03125,-150.0,6.2870565670538066e+29
training_prior__pilot_power_residual__uniform__k32,31,247,389.3333333333333,0.03125,-20.269108323560943,7251.346941772854
training_prior__pilot_power_residual__uniform__k32,32,255,400.0,0.03125,21.392371073715438,1.0347639228977727
training_prior__pilot_power_residual__physics_d_optimal__k32,1,214,345.3333333333333,0.03125,27.010135340693992,1.028111165146661
training_prior__pilot_power_residual__physics_d_optimal__k32,2,224,358.66666666666663,0.03125,21.68692923324727,1.034161335472715
training_prior__pilot_power_residual__physics_d_optimal__k32,3,252,396.0,0.03125,14.581650311910323,1.0701516287752826
training_prior__pilot_power_residual__physics_d_optimal__k32,4,210,340.0,0.03125,26.798209945752745,1.028236591010998
training_prior__pilot_power_residual__physics_d_optimal__k32,5,228,364.0,0.03125,13.857829755714462,1.0783937813353637
training_prior__pilot_power_residual__physics_d_optimal__k32,6,134,238.66666666666666,0.03125,28.651904558573534,1.0273219163558738
training_prior__pilot_power_residual__physics_d_optimal__k32,7,255,400.0,0.03125,21.392371073715438,1.0347639228977727
training_prior__pilot_power_residual__physics_d_optimal__k32,8,223,357.3333333333333,0.03125,22.798641310118214,1.0322240367297146
training_prior__pilot_power_residual__physics_d_optimal__k32,9,216,348.0,0.03125,26.668905649952407,1.0283161861876444
training_prior__pilot_power_residual__physics_d_optimal__k32,10,121,221.33333333333331,0.03125,27.892537284905956,1.0276501056480654
training_prior__pilot_power_residual__physics_d_optimal__k32,11,215,346.66666666666663,0.03125,26.87291520367269,1.0281916759089587
training_prior__pilot_power_residual__physics_d_optimal__k32,12,133,237.33333333333331,0.03125,28.601801979354477,1.0273418444431535
training_prior__pilot_power_residual__physics_d_optimal__k32,13,251,394.66666666666663,0.03125,11.035585625781323,1.1285727137311272
training_prior__pilot_power_residual__physics_d_optimal__k32,14,209,338.66666666666663,0.03125,26.480113372690425,1.028436749569763
training_prior__pilot_power_residual__physics_d_optimal__k32,15,164,278.66666666666663,0.03125,29.695974389845432,1.0269549698631146
training_prior__pilot_power_residual__physics_d_optimal__k32,16,229,365.3333333333333,0.03125,10.299820164649475,1.1484352185216335
training_prior__pilot_power_residual__physics_d_optimal__k32,17,254,398.66666666666663,0.03125,19.58649402168757,1.039511899451028
training_prior__pilot_power_residual__physics_d_optimal__k32,18,222,356.0,0.03125,23.714800465557914,1.0309626301248447
training_prior__pilot_power_residual__physics_d_optimal__k32,19,135,240.0,0.03125,28.70087077760705,1.0273026614319094
training_prior__pilot_power_residual__physics_d_optimal__k32,20,120,220.0,0.03125,27.819903994045617,1.027684613878803
training_prior__pilot_power_residual__physics_d_optimal__k32,21,253,397.3333333333333,0.03125,17.36326693014675,1.0488928684663557
training_prior__pilot_power_residual__physics_d_optimal__k32,22,217,349.3333333333333,0.03125,26.396263712761254,1.0284920040347034
training_prior__pilot_power_residual__physics_d_optimal__k32,23,225,360.0,0.03125,20.32794820192933,1.037319284673573
training_prior__pilot_power_residual__physics_d_optimal__k32,24,128,230.66666666666666,0.03125,28.33317018197019,1.0274527080533216
training_prior__pilot_power_residual__physics_d_optimal__k32,25,213,344.0,0.03125,27.079196354913336,1.028071599265548
training_prior__pilot_power_residual__physics_d_optimal__k32,26,166,281.3333333333333,0.03125,29.72412689987236,1.0269462467821466
training_prior__pilot_power_residual__physics_d_optimal__k32,27,141,248.0,0.03125,28.9738437679315,1.027199214882893
training_prior__pilot_power_residual__physics_d_optimal__k32,28,211,341.3333333333333,0.03125,26.98704509609381,1.0281245350733945
training_prior__pilot_power_residual__physics_d_optimal__k32,29,163,277.3333333333333,0.03125,29.678808945267562,1.0269603164383487
training_prior__pilot_power_residual__physics_d_optimal__k32,30,227,362.66666666666663,0.03125,16.546538331474608,1.0537639676598225
training_prior__pilot_power_residual__physics_d_optimal__k32,31,122,222.66666666666666,0.03125,27.962284146922244,1.0276175084184502
training_prior__pilot_power_residual__physics_d_optimal__k32,32,132,236.0,0.03125,28.550411406071944,1.0273625254068541
training_prior__pilot_power_residual__prior_d_optimal__k32,1,214,345.3333333333333,0.03125,27.010135340693992,1.028111165146661
training_prior__pilot_power_residual__prior_d_optimal__k32,2,224,358.66666666666663,0.03125,21.68692923324727,1.034161335472715
training_prior__pilot_power_residual__prior_d_optimal__k32,3,209,338.66666666666663,0.03125,26.480113372690425,1.028436749569763
training_prior__pilot_power_residual__prior_d_optimal__k32,4,252,396.0,0.03125,14.581650311910323,1.0701516287752826
training_prior__pilot_power_residual__prior_d_optimal__k32,5,228,364.0,0.03125,13.857829755714462,1.0783937813353637
training_prior__pilot_power_residual__prior_d_optimal__k32,6,223,357.3333333333333,0.03125,22.798641310118214,1.0322240367297146
training_prior__pilot_power_residual__prior_d_optimal__k32,7,255,400.0,0.03125,21.392371073715438,1.0347639228977727
training_prior__pilot_power_residual__prior_d_optimal__k32,8,215,346.66666666666663,0.03125,26.87291520367269,1.0281916759089587
training_prior__pilot_power_residual__prior_d_optimal__k32,9,251,394.66666666666663,0.03125,11.035585625781323,1.1285727137311272
training_prior__pilot_power_residual__prior_d_optimal__k32,10,229,365.3333333333333,0.03125,10.299820164649475,1.1484352185216335
training_prior__pilot_power_residual__prior_d_optimal__k32,11,210,340.0,0.03125,26.798209945752745,1.028236591010998
training_prior__pilot_power_residual__prior_d_optimal__k32,12,134,238.66666666666666,0.03125,28.651904558573534,1.0273219163558738
training_prior__pilot_power_residual__prior_d_optimal__k32,13,216,348.0,0.03125,26.668905649952407,1.0283161861876444
training_prior__pilot_power_residual__prior_d_optimal__k32,14,222,356.0,0.03125,23.714800465557914,1.0309626301248447
training_prior__pilot_power_residual__prior_d_optimal__k32,15,182,302.66666666666663,0.03125,29.27146268365327,1.027093604955482
training_prior__pilot_power_residual__prior_d_optimal__k32,16,211,341.3333333333333,0.03125,26.98704509609381,1.0281245350733945
training_prior__pilot_power_residual__prior_d_optimal__k32,17,253,397.3333333333333,0.03125,17.36326693014675,1.0488928684663557
training_prior__pilot_power_residual__prior_d_optimal__k32,18,225,360.0,0.03125,20.32794820192933,1.037319284673573
training_prior__pilot_power_residual__prior_d_optimal__k32,19,217,349.3333333333333,0.03125,26.396263712761254,1.0284920040347034
training_prior__pilot_power_residual__prior_d_optimal__k32,20,133,237.33333333333331,0.03125,28.601801979354477,1.0273418444431535
training_prior__pilot_power_residual__prior_d_optimal__k32,21,213,344.0,0.03125,27.079196354913336,1.028071599265548
training_prior__pilot_power_residual__prior_d_optimal__k32,22,254,398.66666666666663,0.03125,19.58649402168757,1.039511899451028
training_prior__pilot_power_residual__prior_d_optimal__k32,23,183,304.0,0.03125,29.14267507067872,1.0271384172522597
training_prior__pilot_power_residual__prior_d_optimal__k32,24,208,337.3333333333333,0.03125,25.988666611075644,1.0287763718930165
training_prior__pilot_power_residual__prior_d_optimal__k32,25,128,230.66666666666666,0.03125,28.33317018197019,1.0274527080533216
training_prior__pilot_power_residual__prior_d_optimal__k32,26,184,305.3333333333333,0.03125,28.983450043490308,1.027195691721139
training_prior__pilot_power_residual__prior_d_optimal__k32,27,227,362.66666666666663,0.03125,16.546538331474608,1.0537639676598225
training_prior__pilot_power_residual__prior_d_optimal__k32,28,135,240.0,0.03125,28.70087077760705,1.0273026614319094
training_prior__pilot_power_residual__prior_d_optimal__k32,29,190,313.3333333333333,0.03125,26.542670065628315,1.0283962173790107
training_prior__pilot_power_residual__prior_d_optimal__k32,30,132,236.0,0.03125,28.550411406071944,1.0273625254068541
training_prior__pilot_power_residual__prior_d_optimal__k32,31,193,317.3333333333333,0.03125,21.821120994675553,1.0339001648842157
training_prior__pilot_power_residual__prior_d_optimal__k32,32,212,342.66666666666663,0.03125,27.07490512390339,1.0280740394370493
training_prior__pilot_power_residual__bayesian_a_optimal__k32,1,214,345.3333333333333,0.03125,27.010135340693992,1.028111165146661
training_prior__pilot_power_residual__bayesian_a_optimal__k32,2,215,346.66666666666663,0.03125,26.87291520367269,1.0281916759089587
training_prior__pilot_power_residual__bayesian_a_optimal__k32,3,213,344.0,0.03125,27.079196354913336,1.028071599265548
training_prior__pilot_power_residual__bayesian_a_optimal__k32,4,216,348.0,0.03125,26.668905649952407,1.0283161861876444
training_prior__pilot_power_residual__bayesian_a_optimal__k32,5,223,357.3333333333333,0.03125,22.798641310118214,1.0322240367297146
training_prior__pilot_power_residual__bayesian_a_optimal__k32,6,224,358.66666666666663,0.03125,21.68692923324727,1.034161335472715
training_prior__pilot_power_residual__bayesian_a_optimal__k32,7,212,342.66666666666663,0.03125,27.07490512390339,1.0280740394370493
training_prior__pilot_power_residual__bayesian_a_optimal__k32,8,217,349.3333333333333,0.03125,26.396263712761254,1.0284920040347034
training_prior__pilot_power_residual__bayesian_a_optimal__k32,9,222,356.0,0.03125,23.714800465557914,1.0309626301248447
training_prior__pilot_power_residual__bayesian_a_optimal__k32,10,225,360.0,0.03125,20.32794820192933,1.037319284673573
training_prior__pilot_power_residual__bayesian_a_optimal__k32,11,221,354.66666666666663,0.03125,24.473274596668944,1.030102672740819
training_prior__pilot_power_residual__bayesian_a_optimal__k32,12,218,350.66666666666663,0.03125,26.050145879280265,1.0287317477951339
training_prior__pilot_power_residual__bayesian_a_optimal__k32,13,211,341.3333333333333,0.03125,26.98704509609381,1.0281245350733945
training_prior__pilot_power_residual__bayesian_a_optimal__k32,14,128,230.66666666666666,0.03125,28.33317018197019,1.0274527080533216
training_prior__pilot_power_residual__bayesian_a_optimal__k32,15,226,361.3333333333333,0.03125,18.649422595715876,1.0428834624536187
training_prior__pilot_power_residual__bayesian_a_optimal__k32,16,219,352.0,0.03125,25.62260685934315,1.0290555942937274
training_prior__pilot_power_residual__bayesian_a_optimal__k32,17,220,353.3333333333333,0.03125,25.102203428198038,1.0294954561690004
training_prior__pilot_power_residual__bayesian_a_optimal__k32,18,210,340.0,0.03125,26.798209945752745,1.028236591010998
training_prior__pilot_power_residual__bayesian_a_optimal__k32,19,227,362.66666666666663,0.03125,16.546538331474608,1.0537639676598225
training_prior__pilot_power_residual__bayesian_a_optimal__k32,20,209,338.66666666666663,0.03125,26.480113372690425,1.028436749569763
training_prior__pilot_power_residual__bayesian_a_optimal__k32,21,127,229.33333333333331,0.03125,28.27647355292659,1.0274769972070548
training_prior__pilot_power_residual__bayesian_a_optimal__k32,22,228,364.0,0.03125,13.857829755714462,1.0783937813353637
training_prior__pilot_power_residual__bayesian_a_optimal__k32,23,208,337.3333333333333,0.03125,25.988666611075644,1.0287763718930165
training_prior__pilot_power_residual__bayesian_a_optimal__k32,24,129,232.0,0.03125,28.387643290644775,1.0274296686921824
training_prior__pilot_power_residual__bayesian_a_optimal__k32,25,251,394.66666666666663,0.03125,11.035585625781323,1.1285727137311272
training_prior__pilot_power_residual__bayesian_a_optimal__k32,26,229,365.3333333333333,0.03125,10.299820164649475,1.1484352185216335
training_prior__pilot_power_residual__bayesian_a_optimal__k32,27,207,336.0,0.03125,25.26279518954162,1.0293540376771106
training_prior__pilot_power_residual__bayesian_a_optimal__k32,28,167,282.66666666666663,0.03125,29.734736316458054,1.0269429741027039
training_prior__pilot_power_residual__bayesian_a_optimal__k32,29,166,281.3333333333333,0.03125,29.72412689987236,1.0269462467821466
training_prior__pilot_power_residual__bayesian_a_optimal__k32,30,252,396.0,0.03125,14.581650311910323,1.0701516287752826
training_prior__pilot_power_residual__bayesian_a_optimal__k32,31,190,313.3333333333333,0.03125,26.542670065628315,1.0283962173790107
training_prior__pilot_power_residual__bayesian_a_optimal__k32,32,206,334.66666666666663,0.03125,24.193722705632382,1.03040222985428
training_prior__pilot_power_residual__target_balanced__k32,1,214,345.3333333333333,0.03125,27.010135340693992,1.028111165146661
training_prior__pilot_power_residual__target_balanced__k32,2,224,358.66666666666663,0.03125,21.68692923324727,1.034161335472715
training_prior__pilot_power_residual__target_balanced__k32,3,223,357.3333333333333,0.03125,22.798641310118214,1.0322240367297146
training_prior__pilot_power_residual__target_balanced__k32,4,252,396.0,0.03125,14.581650311910323,1.0701516287752826
training_prior__pilot_power_residual__target_balanced__k32,5,255,400.0,0.03125,21.392371073715438,1.0347639228977727
training_prior__pilot_power_residual__target_balanced__k32,6,254,398.66666666666663,0.03125,19.58649402168757,1.039511899451028
training_prior__pilot_power_residual__target_balanced__k32,7,215,346.66666666666663,0.03125,26.87291520367269,1.0281916759089587
training_prior__pilot_power_residual__target_balanced__k32,8,225,360.0,0.03125,20.32794820192933,1.037319284673573
training_prior__pilot_power_residual__target_balanced__k32,9,222,356.0,0.03125,23.714800465557914,1.0309626301248447
training_prior__pilot_power_residual__target_balanced__k32,10,251,394.66666666666663,0.03125,11.035585625781323,1.1285727137311272
training_prior__pilot_power_residual__target_balanced__k32,11,253,397.3333333333333,0.03125,17.36326693014675,1.0488928684663557
training_prior__pilot_power_residual__target_balanced__k32,12,226,361.3333333333333,0.03125,18.649422595715876,1.0428834624536187
training_prior__pilot_power_residual__target_balanced__k32,13,213,344.0,0.03125,27.079196354913336,1.028071599265548
training_prior__pilot_power_residual__target_balanced__k32,14,228,364.0,0.03125,13.857829755714462,1.0783937813353637
training_prior__pilot_power_residual__target_balanced__k32,15,221,354.66666666666663,0.03125,24.473274596668944,1.030102672740819
training_prior__pilot_power_residual__target_balanced__k32,16,217,349.3333333333333,0.03125,26.396263712761254,1.0284920040347034
training_prior__pilot_power_residual__target_balanced__k32,17,227,362.66666666666663,0.03125,16.546538331474608,1.0537639676598225
training_prior__pilot_power_residual__target_balanced__k32,18,220,353.3333333333333,0.03125,25.102203428198038,1.0294954561690004
training_prior__pilot_power_residual__target_balanced__k32,19,216,348.0,0.03125,26.668905649952407,1.0283161861876444
training_prior__pilot_power_residual__target_balanced__k32,20,229,365.3333333333333,0.03125,10.299820164649475,1.1484352185216335
training_prior__pilot_power_residual__target_balanced__k32,21,219,352.0,0.03125,25.62260685934315,1.0290555942937274
training_prior__pilot_power_residual__target_balanced__k32,22,187,309.3333333333333,0.03125,28.219388445723283,1.027501775737404
training_prior__pilot_power_residual__target_balanced__k32,23,218,350.66666666666663,0.03125,26.050145879280265,1.0287317477951339
training_prior__pilot_power_residual__target_balanced__k32,24,250,393.3333333333333,0.03125,6.413719270852354,1.345540557537025
training_prior__pilot_power_residual__target_balanced__k32,25,128,230.66666666666666,0.03125,28.33317018197019,1.0274527080533216
training_prior__pilot_power_residual__target_balanced__k32,26,230,366.66666666666663,0.03125,5.194989316101669,1.4632472717552303
training_prior__pilot_power_residual__target_balanced__k32,27,209,338.66666666666663,0.03125,26.480113372690425,1.028436749569763
training_prior__pilot_power_residual__target_balanced__k32,28,164,278.66666666666663,0.03125,29.695974389845432,1.0269549698631146
training_prior__pilot_power_residual__target_balanced__k32,29,212,342.66666666666663,0.03125,27.07490512390339,1.0280740394370493
training_prior__pilot_power_residual__target_balanced__k32,30,211,341.3333333333333,0.03125,26.98704509609381,1.0281245350733945
training_prior__pilot_power_residual__target_balanced__k32,31,127,229.33333333333331,0.03125,28.27647355292659,1.0274769972070548
training_prior__pilot_power_residual__target_balanced__k32,32,133,237.33333333333331,0.03125,28.601801979354477,1.0273418444431535
training_prior__pilot_power_residual__uniform__k64,1,0,60.0,0.015625,-80.62286466026438,8375684456218637.0
training_prior__pilot_power_residual__uniform__k64,2,4,65.33333333333333,0.015625,-10.867579714518456,110.12837400275495
training_prior__pilot_power_residual__uniform__k64,3,8,70.66666666666667,0.015625,12.895562134927317,1.0918164056931712
